model,instep,step,avg_rmse
CNN,1Day,0,0.25625473176685004
CNN,1Day,1,0.1592742011121716
CNN,1Day,2,0.24175722518134235
CNN,1Day,3,0.2573878901329023
CNN,1Day,4,0.2709131967328099
CNN,1Day,5,0.27721205562017653
CNN,1Day,6,0.2822940973440065
CNN,1Day,7,0.2816871143048543
CNN,1Day,8,0.27951207370653736
CNN,4Day,0,0.24857788778400478
CNN,4Day,1,0.16844678109965036
CNN,4Day,2,0.2133692621959631
CNN,4Day,3,0.2415309089167726
CNN,4Day,4,0.2615113357077241
CNN,4Day,5,0.269898240418097
CNN,4Day,6,0.2770035209169846
CNN,4Day,7,0.2793366601871159
CNN,4Day,8,0.2775263928297309
CNN,8Day,0,0.274514386492562
CNN,8Day,1,0.1892043693849773
CNN,8Day,2,0.2476860902692904
CNN,8Day,3,0.28251269230012177
CNN,8Day,4,0.30728401952679063
CNN,8Day,5,0.3157506949263256
CNN,8Day,6,0.3033510670638769
CNN,8Day,7,0.28430538278656037
CNN,8Day,8,0.26602077568255283
LSTM,1Day,0,0.30479604841388297
LSTM,1Day,1,0.18153115424019908
LSTM,1Day,2,0.25227154910760463
LSTM,1Day,3,0.30668462283615555
LSTM,1Day,4,0.3422170126143267
LSTM,1Day,5,0.3597254130612172
LSTM,1Day,6,0.3546969931841133
LSTM,1Day,7,0.33788812301452176
LSTM,1Day,8,0.3033535192529249
LSTM,4Day,0,0.3031193278368827
LSTM,4Day,1,0.18931970996153846
LSTM,4Day,2,0.24392742905107018
LSTM,4Day,3,0.2959249054597372
LSTM,4Day,4,0.33119755793738076
LSTM,4Day,5,0.3553765802033269
LSTM,4Day,6,0.3557431662556686
LSTM,4Day,7,0.33742893123331213
LSTM,4Day,8,0.3160363425930282
LSTM,8Day,0,0.3175900873132473
LSTM,8Day,1,0.23454181355280637
LSTM,8Day,2,0.29552615460002213
LSTM,8Day,3,0.34205852922910435
LSTM,8Day,4,0.3693871607017602
LSTM,8Day,5,0.37437092322766524
LSTM,8Day,6,0.34430842607871137
LSTM,8Day,7,0.2995943521011845
LSTM,8Day,8,0.2809333390147238
LSTM_bidirectional,1Day,0,0.32893393017280514
LSTM_bidirectional,1Day,1,0.18247141739773196
LSTM_bidirectional,1Day,2,0.2619855682944376
LSTM_bidirectional,1Day,3,0.32512766344935345
LSTM_bidirectional,1Day,4,0.36821336495771756
LSTM_bidirectional,1Day,5,0.394224095901991
LSTM_bidirectional,1Day,6,0.39164238541789825
LSTM_bidirectional,1Day,7,0.3732629425427956
LSTM_bidirectional,1Day,8,0.3345440034205152
LSTM_bidirectional,4Day,0,0.2976989013664673
LSTM_bidirectional,4Day,1,0.18901067039060182
LSTM_bidirectional,4Day,2,0.23952257806802288
LSTM_bidirectional,4Day,3,0.2866693158338631
LSTM_bidirectional,4Day,4,0.3196538173009642
LSTM_bidirectional,4Day,5,0.34520115121084977
LSTM_bidirectional,4Day,6,0.3520984373850922
LSTM_bidirectional,4Day,7,0.33845527894018856
LSTM_bidirectional,4Day,8,0.3109799618021562
LSTM_bidirectional,8Day,0,0.3154617157074823
LSTM_bidirectional,8Day,1,0.23373213045289495
LSTM_bidirectional,8Day,2,0.2926981053255286
LSTM_bidirectional,8Day,3,0.33195956262005977
LSTM_bidirectional,8Day,4,0.3577527581927931
LSTM_bidirectional,8Day,5,0.3648013194765859
LSTM_bidirectional,8Day,6,0.34344121902518543
LSTM_bidirectional,8Day,7,0.3111136995338758
LSTM_bidirectional,8Day,8,0.2881949310329348
